rule,name,value
ruler_0_r,average,3.0059999999999993
ruler_1_lr,average,3.0049999999999994
ruler_1_lr-rev,average,3.0049999999999994
ruler_2_r,average,3.0049999999999994
ruler_3_lr,average,3.0049999999999994
ruler_3_lr-rev,average,3.0049999999999994
ruler_4_lr,average,3.0049999999999994
ruler_4_lr-rev,average,3.0049999999999994
ruler_5_r,average,2.0039999999999996
ruler_6_lr,average,2.5039999999999996
ruler_6_lr-rev,average,2.5039999999999996
ruler_7_lr,average,2.5039999999999996
ruler_7_lr-rev,average,2.5039999999999996
ruler_8_lr,average,2.5039999999999996
ruler_8_lr-rev,average,2.5039999999999996
ruler_9_lr,average,2.5039999999999996
ruler_9_lr-rev,average,2.5039999999999996
ruler_10_lr,average,2.5039999999999996
ruler_10_lr-rev,average,2.5039999999999996
ruler_11_lr,average,2.5039999999999996
ruler_11_lr-rev,average,2.5039999999999996
ruler_12_r,average,3.0039999999999996
ruler_13_r,average,3.0039999999999996
ruler_14_r,average,3.0039999999999996
ruler_15_lr,average,6.004
ruler_15_lr-rev,average,6.004
ruler_16_lr,average,6.004
ruler_16_lr-rev,average,6.004
ruler_17_r,average,6.004
ruler_18_r,average,6.004
ruler_19_lr,average,3.0039999999999996
ruler_19_lr-rev,average,3.0039999999999996
ruler_20_lr,average,3.0039999999999996
ruler_20_lr-rev,average,3.0039999999999996
ruler_21_lr,average,3.0039999999999996
ruler_21_lr-rev,average,3.0039999999999996
ruler_22_lr,average,3.0039999999999996
ruler_22_lr-rev,average,3.0039999999999996
ruler_23_lr,average,6.004
ruler_23_lr-rev,average,6.004
ruler_24_lr,average,6.004
ruler_24_lr-rev,average,6.004
ruler_25_r,average,6.004
ruler_26_r,average,1.0029999999999997
ruler_27_lr,average,1.5029999999999997
ruler_27_lr-rev,average,1.5029999999999997
ruler_28_r,average,2.0029999999999997
ruler_29_r,average,2.0029999999999997
ruler_30_r,average,2.0029999999999997
ruler_31_lr,average,2.0029999999999997
ruler_31_lr-rev,average,2.0029999999999997
ruler_32_r,average,2.0029999999999997
ruler_33_lr,average,2.0029999999999997
ruler_33_lr-rev,average,2.0029999999999997
ruler_34_lr,average,2.0029999999999997
ruler_34_lr-rev,average,2.0029999999999997
ruler_35_lr,average,2.0029999999999997
ruler_35_lr-rev,average,2.0029999999999997
ruler_36_lr,average,2.5029999999999997
ruler_36_lr-rev,average,2.5029999999999997
ruler_37_lr,average,2.5029999999999997
ruler_37_lr-rev,average,2.5029999999999997
ruler_38_lr,average,2.5029999999999997
ruler_38_lr-rev,average,2.5029999999999997
ruler_39_lr,average,2.5029999999999997
ruler_39_lr-rev,average,2.5029999999999997
ruler_40_lr,average,3.0029999999999997
ruler_40_lr-rev,average,3.0029999999999997
ruler_41_r,average,2.002
ruler_42_r,average,1.0019999999999998
ruler_43_r,average,1.0019999999999998
ruler_44_r,average,2.002
ruler_45_lr,average,1.5019999999999998
ruler_45_lr-rev,average,1.5019999999999998
ruler_46_lr,average,1.5019999999999998
ruler_46_lr-rev,average,1.5019999999999998
ruler_47_lr,average,1.5019999999999998
ruler_47_lr-rev,average,1.5019999999999998
ruler_48_lr,average,2.002
ruler_48_lr-rev,average,2.002
ruler_49_r,average,2.002
ruler_50_lr,average,4.002
ruler_50_lr-rev,average,4.002
ruler_51_lr,average,2.002
ruler_51_lr-rev,average,2.002
ruler_52_lr,average,52.60399999999999
ruler_52_lr-rev,average,52.60399999999999
ruler_53_lr,average,52.60399999999999
ruler_53_lr-rev,average,52.60399999999999
ruler_54_lr,average,52.55200000000001
ruler_54_lr-rev,average,52.55200000000001
ruler_55_lr,average,1.0014999999999998
ruler_55_lr-rev,average,1.0014999999999998
ruler_56_lr,average,1.0014999999999998
ruler_56_lr-rev,average,1.0014999999999998
ruler_57_lr,average,1.0014999999999998
ruler_57_lr-rev,average,1.0014999999999998
ruler_58_lr,average,2.0015
ruler_58_lr-rev,average,2.0015
ruler_59_r,average,1.0014999999999998
blah2l,average,4.002
blah2,average,4.002
blah,average,1.0014999999999998
vec-neg,average,52.55200000000001
-+neg,average,3.002
vec-neg0-l,average,51.55200000000001
vec-neg0-r,average,51.55200000000001
ruler_0_r,differential,0
ruler_1_lr,differential,0
ruler_1_lr-rev,differential,0
ruler_2_r,differential,0
ruler_3_lr,differential,0
ruler_3_lr-rev,differential,0
ruler_4_lr,differential,0
ruler_4_lr-rev,differential,0
ruler_5_r,differential,0
ruler_6_lr,differential,-1
ruler_6_lr-rev,differential,1
ruler_7_lr,differential,-1
ruler_7_lr-rev,differential,1
ruler_8_lr,differential,1
ruler_8_lr-rev,differential,-1
ruler_9_lr,differential,1
ruler_9_lr-rev,differential,-1
ruler_10_lr,differential,-1
ruler_10_lr-rev,differential,1
ruler_11_lr,differential,-1
ruler_11_lr-rev,differential,1
ruler_12_r,differential,0
ruler_13_r,differential,0
ruler_14_r,differential,0
ruler_15_lr,differential,0
ruler_15_lr-rev,differential,0
ruler_16_lr,differential,0
ruler_16_lr-rev,differential,0
ruler_17_r,differential,0
ruler_18_r,differential,0
ruler_19_lr,differential,0
ruler_19_lr-rev,differential,0
ruler_20_lr,differential,0
ruler_20_lr-rev,differential,0
ruler_21_lr,differential,0
ruler_21_lr-rev,differential,0
ruler_22_lr,differential,0
ruler_22_lr-rev,differential,0
ruler_23_lr,differential,0
ruler_23_lr-rev,differential,0
ruler_24_lr,differential,0
ruler_24_lr-rev,differential,0
ruler_25_r,differential,0
ruler_26_r,differential,0
ruler_27_lr,differential,-1
ruler_27_lr-rev,differential,1
ruler_28_r,differential,0
ruler_29_r,differential,0
ruler_30_r,differential,0
ruler_31_lr,differential,0
ruler_31_lr-rev,differential,0
ruler_32_r,differential,0
ruler_33_lr,differential,0
ruler_33_lr-rev,differential,0
ruler_34_lr,differential,0
ruler_34_lr-rev,differential,0
ruler_35_lr,differential,-2
ruler_35_lr-rev,differential,2
ruler_36_lr,differential,-1
ruler_36_lr-rev,differential,1
ruler_37_lr,differential,-1
ruler_37_lr-rev,differential,1
ruler_38_lr,differential,1
ruler_38_lr-rev,differential,-1
ruler_39_lr,differential,-1
ruler_39_lr-rev,differential,1
ruler_40_lr,differential,0
ruler_40_lr-rev,differential,0
ruler_41_r,differential,0
ruler_42_r,differential,0
ruler_43_r,differential,0
ruler_44_r,differential,0
ruler_45_lr,differential,1
ruler_45_lr-rev,differential,-1
ruler_46_lr,differential,-1
ruler_46_lr-rev,differential,1
ruler_47_lr,differential,1
ruler_47_lr-rev,differential,-1
ruler_48_lr,differential,0
ruler_48_lr-rev,differential,0
ruler_49_r,differential,0
ruler_50_lr,differential,0
ruler_50_lr-rev,differential,0
ruler_51_lr,differential,-2
ruler_51_lr-rev,differential,2
ruler_52_lr,differential,-102.8
ruler_52_lr-rev,differential,102.8
ruler_53_lr,differential,-102.8
ruler_53_lr-rev,differential,102.8
ruler_54_lr,differential,-102.9
ruler_54_lr-rev,differential,102.9
ruler_55_lr,differential,-2.001
ruler_55_lr-rev,differential,2.001
ruler_56_lr,differential,-2.001
ruler_56_lr-rev,differential,2.001
ruler_57_lr,differential,-2.001
ruler_57_lr-rev,differential,2.001
ruler_58_lr,differential,-0.0009999999999998899
ruler_58_lr-rev,differential,0.0009999999999998899
ruler_59_r,differential,2.001
blah2l,differential,0
blah2,differential,0
blah,differential,-2.001
vec-neg,differential,102.9
-+neg,differential,-2
vec-neg0-l,differential,100.9
vec-neg0-r,differential,100.9
